English,EnglishMeaning,POS,EnglishPronunciation ,Lang,EnglishSentence,EnglishSentenceTranslate,EnglishAudio,LangAudio
punishment,beating,noun,punishment,مجازات,This boxer has taken a lot of punishment during this bout.,این بوکسور در طول این حادثه مجازات زیادی را گرفته است.,,
pause,brief interruption,noun,pause,مکث کردن,"After a pause during which she allowed the latecomers to sit down, the therapist continued speaking.","پس از مکث که در طی آن او اجازه داد تا لتکومرها را به نشستن، درمانگر ادامه داد.",,
pause,electronics,noun,pause,مکث کردن,"Will you press pause? I need to go to the bathroom, but this looks like an amazing cat video.","آیا مکث را فشار می دهید؟ من باید به حمام بروم، اما این به نظر می رسد یک ویدیو گربه شگفت انگیز است.",,
pause,to stop briefly,intransitive verb,pause,مکث کردن,The workers paused for a few minutes before going back to the digging.,کارگران چند دقیقه قبل از بازگشت به حفاری متوقف شدند.,,
pause,to interrupt,transitive verb,pause,مکث کردن,Can you pause the movie while I get the popcorn from the microwave?,آیا می توانید فیلم را متوقف کنید در حالی که من پاپ کورن را از مایکروویو دریافت می کنم؟,,
pill,medicine,noun,pill,قرص,The box has 30 pills.,جعبه دارای 30 قرص است.,,
pill,contraceptive,noun,pill,قرص,The pill is the contraceptive that works best for me.,قرص ضد بارداری است که برای من بهترین کار می کند.,,
pill,annoying person,noun,pill,قرص,"He doesn't have a lot of friends, probably because he's a pill.","او بسیاری از دوستان زیادی ندارد، احتمالا به این دلیل که او قرص است.",,
pill,to form balls of fluff,intransitive verb,pill,قرص,This is an excellent little gadget to revive any sweaters that have pilled.,این یک ابزار کوچک بسیار عالی برای احیای هر گونه ژاکت هایی است که pilled.,,
rub,to apply friction,transitive verb,rub,مالش کردن,He was rubbing his hands together in excitement for dinner.,او دستان خود را با هم در آغوش برای شام مالش کرد.,,
rub,"to apply friction, to pass over with the hands",transitive verb,rub,مالش کردن,The masseuse rubbed my back and my legs.,Massseuse پشت و پاهای من را مالش داد.,,
rub,culinary,transitive verb,rub,مالش کردن,Rub the spices into the meat and let it marinate for an hour.,ادویه جات ترشی جات را به گوشت بریزید و آن را یک ساعت بگذارید.,,
rub,"to graze; used with ""against""",intransitive verb,rub,مالش کردن,I get nervous when the bus is packed and people rub against me.,"هنگامی که اتوبوس بسته بندی می شود، عصبی می شود و مردم در برابر من مالش می کنند.",,
rub,act of rubbing,noun,rub,مالش کردن,I'm giving my knee a rub because I hit it on the desk.,من زانو خود را مالش می دهم چون من روی میز قرار گرفتم.,,
rub,difficulty,noun,rub,مالش کردن,The rub is that we don't have money for a plane ticket.,مالش این است که ما برای یک بلیط هواپیما پول نداریم.,,
romantic,sentimental,adjective,romantic,رومانتیک,I don't like romantic novels; I'm more of a fan of fantasy.,من رمانهای رمانتیک را دوست ندارم من بیشتر از طرفداران فانتزی هستم,,
romantic,not realistic,adjective,romantic,رومانتیک,I think he has some romantic notions about what it's actually like to be a touring musician.,من فکر می کنم او برخی از مفاهیم عاشقانه در مورد آنچه که در واقع دوست داشتن یک نوازنده توریستی است.,,
romantic,related to Romanticism,adjective,romantic,رومانتیک,Beethoven bridged the Romantic and Classical periods.,بتهوون دوره های عاشقانه و کلاسیک را متوقف کرد.,,
romantic,sentimental person,noun,romantic,رومانتیک,"At heart, she's always been a romantic.","در قلب، او همیشه عاشقانه بوده است.",,
romantic,exponent of Romanticism,noun,romantic,رومانتیک,The Romantics often manifested the emotions of their characters through descriptions of nature.,رومانتیک اغلب احساسات شخصیت های خود را از طریق توصیف طبیعت نشان می دهد.,,
myth,ancient story,noun,myth,اسطوره,She did a lot of research into Scandinavian myths and legends for her novel.,او تحقیقات زیادی را به اسطوره های اسکاندیناوی و افسانه ها برای رمانش انجام داد.,,
myth,false statement,noun,myth,اسطوره,It's a myth that you can't get pregnant the first time you have sex.,این یک اسطوره است که شما نمیتوانید اولین بار باردار شوید.,,
economist,profession,noun,economist,اقتصاددان,Sara works as an economist with the Government Accountability Office.,سارا به عنوان یک اقتصاددان با اداره حسابدهی دولت کار می کند.,,
Latin,language,noun,Latin,لاتین,"Latin is no longer spoken, but it is the root of many modern languages.","لاتین دیگر صحبت نمی شود، اما این ریشه بسیاری از زبان های مدرن است.",,
Latin,Latin American,noun,Latin,لاتین,"A lot of Latins live in this neighborhood, so you hear a lot of Spanish.","بسیاری از لاتین ها در این محله زندگی می کنند، بنابراین شما بسیاری از اسپانیایی را میشنوید.",,
Latin,related to Latin,adjective,Latin,لاتین,Galician and Catalan are two Latin languages spoken in Spain.,گالیسی و کاتالان دو زبان لاتین در اسپانیا صحبت می کنند.,,
decent,fairly good,adjective,decent,نجیب,"Everybody has a right to a decent meal, and a place to sleep.",همه حق دارند غذای مناسب و معقول و جایی برای خواب داشته باشند.,,
decent,respectable,adjective,decent,نجیب,This is a decent house; we don't use that type of language.,این یک خانه مناسب و معقول است ما از این نوع زبان استفاده نمی کنیم.,,
decent,kind,adjective,decent,نجیب,Our neighbor is a decent man. He would help anyone.,همسایه ما یک مرد شایسته است. او به هر کسی کمک خواهد کرد.,,
craft,trade,noun,craft,مهارت,My grandfather taught me the traditional craft of woodworking.,پدربزرگ من به من صنایع سنتی نجاری را به من آموخت.,,
craft,transport,noun,craft,مهارت,The craft was severely damaged and sank to the ocean floor.,صنایع دستی به شدت آسیب دیده و به کف اقیانوس غرق شد.,,
craft,cunning,noun,craft,مهارت,He solved the riddle through craft and patience.,او معما را از طریق صنایع دستی و صبر حل کرد.,,
craft,to create,transitive verb,craft,مهارت,The figurine was crafted in the 18th century.,این مجسمه در قرن هجدهم ساخته شد.,,
crafts,handicraft,plural noun,crafts,صنایع دستی,At the fair you can buy crafts and leather goods.,در منصفانه شما می توانید صنایع دستی و کالاهای چرمی را خریداری کنید.,,
poetry,literary genre,noun,poetry,شعر,I prefer classical poetry to contemporary poetry.,من شعر کلاسیک را به شعر معاصر ترجیح می دهم.,,
thread,sewing,noun,thread,نخ,I can't find thread that is the same color as the button I want to sew.,من نمی توانم موضوع را پیدا کنم که همان رنگ است به عنوان دکمه ای که می خواهم دوختن داشته باشم.,,
thread,filament,noun,thread,نخ,Jack caught the thread of cheese that was dangling from his mouth with his finger.,جک موضوع پنیر را گرفت که از دهانش با انگشت خود آویزان بود.,,
thread,sequence,noun,thread,نخ,There's no common thread between the characters in this book.,هیچ موضوع مشترک بین شخصیت های این کتاب وجود ندارد.,,
thread,of screw,noun,thread,نخ,I can't tighten the screw because the thread is nicked.,من نمی توانم پیچ را سفت کنم چون موضوع ناقص است.,,
thread,to put onto a string,transitive verb,thread,نخ,It took me ten minutes to thread the needle and five minutes to hem these pants.,من ده دقیقه طول کشید تا سوزن و پنج دقیقه به این شلوارها برسد.,,
thread,to connect with a string,transitive verb,thread,نخ,"Once you have threaded the beads together, attach the clasp of the necklace.","هنگامی که مهره ها را با هم ریختید، قلاب گردنبند را پیوست کنید.",,
threads,"clothes, colloquial",plural noun,threads,موضوعات,Be careful with the iron! These threads cost me an arm and a leg.,مراقب باشید با آهن! این موضوعات به من یک دست و پا هزینه می کنند.,,
wooden,made of wood,adjective,wooden,چوبی,Use a wooden spoon to stir the sauce.,از یک قاشق چوبی استفاده کنید تا سس را مخلوط کنید.,,
wooden,"stilted, face or person",adjective,wooden,چوبی,"He's a wooden actor, but perfect for the part of Hercules.","او یک بازیگر چوبی است، اما برای بخشی از هرکول مناسب است.",,
wooden,"stilted, expression",adjective,wooden,چوبی,The police officer kept a wooden face while asking me for my identity card.,"افسر پلیس در حالی که از من برای کارت هویت من پرسید، یک چهره چوبی را حفظ کرد.",,
wooden,"stilted, performance",adjective,wooden,چوبی,Her stunning good looks could not disguise her wooden acting.,ظاهر خوب خیره کننده او نمی تواند بازی های چوبی خود را پنهان کند.,,
confuse,to bewilder,transitive verb,confuse,گیج کردن,The map confused us because it showed a different path.,"نقشه ما را اشتباه گرفت، زیرا مسیر دیگری را نشان داد.",,
confuse,to obscure,transitive verb,confuse,گیج کردن,His explanation confused rather than clarified the issue.,توضیح او اشتباه گرفته شد نه این مسئله را روشن کرد.,,
confuse,to mix up,transitive verb,confuse,گیج کردن,I think you're confusing me with someone else.,من فکر می کنم شما با شخص دیگری گیج می شوید.,,
privilege,special right,noun,privilege,امتیاز,He has many privileges other more deserving people lack.,او دارای بسیاری از امتیازات دیگر افراد سزاوار نبود.,,
privilege,distinction,noun,privilege,امتیاز,It was a privilege to be a member of a championship team.,این یک امتیاز بود که عضو تیم قهرمانی بود.,,
privilege,to favor,transitive verb,privilege,امتیاز,"His family, his history, and his education are all factors that have undoubtedly privileged him.","خانواده اش، تاریخ او، و آموزش و پرورش او همه عواملی است که بدون شک او را به دست آورده اند.",,
coal,mineral,noun,coal,زغال سنگ,"I didn't behave well this year, so Santa brought me a lump of coal.","من در سال جاری رفتار نکردم، بنابراین سانتا من را یک توده زغال سنگ آورد.",,
fool,stupid or silly person,noun,fool,احمق,What a fool you are!,شما یک احمق هستید,,
fool,jester,noun,fool,احمق,The king summoned the fool in order to hear some of his jokes.,پادشاه این احمق را احضار کرد تا برخی از جوک هایش را بشنود.,,
fool,culinary,noun,fool,احمق,This rhubarb fool is delicious!,این احمق رباب دار خوشمزه است!,,
fool,stupid,adjective,fool,احمق,What a fool thing to do.,چیزی که باید انجام دهید.,,
fool,to deceive,transitive verb,fool,احمق,You won't fool your mother so easily.,شما مادر خود را به راحتی نمی فهمید.,,
fool,to act foolishly,intransitive verb,fool,احمق,Stop fooling; this is serious!,متوقف کردن فریب دادن؛ این جدی است!,,
cow,"animal, female bovine",noun,cow,گاو,We walked across a field full of cows.,ما در سراسر یک میدان پر از گاوها راه می رفتیم.,,
cow,"animal, female elephant, whale, seal",noun,cow,گاو,The cow will suckle her pups for several months.,گاو چند ماه طول می کشد.,,
cow,nasty or stupid woman,noun,cow,گاو,I hate my stepmother. She's a cow!,من از مادرم متنفرم او گاو است!,,
cow,to intimidate,transitive verb,cow,گاو,She refused to be cowed by this threat.,او از این تهدید اجتناب کرد.,,
characterize,to be typical of,transitive verb,characterize,مشخص کردن,The band's music is characterized by an eclectic blend of sounds from around the world.,موسیقی گروه با ترکیب ترکیبات صوتی از سراسر جهان مشخص می شود.,,
characterize,to describe,transitive verb,characterize,مشخص کردن,"I don't know if I would characterize the soup as insipid, but it definitely wasn't delicious.","من نمی دانم اگر من سوپ را به عنوان insipid مشخص کنم، اما قطعا خوشمزه نبود.",,
decrease,to cause to go down,transitive verb,decrease,نزول کردن,Our aim is to decrease our impact on the environment.,هدف ما کاهش تاثیر ما بر محیط زیست است.,,
decrease,to go down,intransitive verb,decrease,نزول کردن,"As the pain decreased, he felt better.","به عنوان درد کاهش یافته است، او احساس بهتر شد.",,
decrease,reduction,noun,decrease,نزول کردن,This could explain the decrease in the mortality rate.,این می تواند کاهش میزان مرگ و میر را توضیح دهد.,,
resort,retreat,noun,resort,رفت و آمد مکرر,We decided to vacation on our own instead of going to a resort.,ما تصمیم گرفتیم به جای رفتن به رفت و آمد به جای خودمان تصمیم گرفتیم.,,
resort,recourse,noun,resort,رفت و آمد مکرر,Incarcerating minors is the last resort for this city's youth crime problem.,زندانیان زندان آخرین رفت و آمد مکرر برای این مشکل جنایت جوانان این شهر است.,,
resort,to turn to,intransitive verb,resort,رفت و آمد مکرر,They resorted to eating leftovers after refusing to cook dinner.,"آنها پس از امتناع از شام خوردن، به غذا خوردن رفتند.",,
legacy,transmission,noun,legacy,میراث,His elegant style was his greatest legacy.,سبک ظریف او بزرگترین میراث او بود.,,
legacy,legal,noun,legacy,میراث,My father left me no legacy in his will.,پدرم من را در اراده خود به من نگفت.,,
re,music; movable-do system,noun,re,دوباره,"If you sing from re to the same note up an octave in the key of C, that is the Dorian mode.","اگر از RE به همان یادآوری یک اکتاو در کلید C را بخوانید، این حالت Dorian است.",,
re,music; fixed-do system,noun,re,دوباره,"In the key of A minor, the first four notes are la, ti, do, and re.","در کلید جزئی، چهار یادداشت اول، لا، تی، انجام، و دوباره.",,
re,regarding,preposition,re,دوباره,I need to write to them re the revised costs.,من باید هزینه های تجدید نظر را به آنها بنویسید.,,
re,used in correspondence,preposition,re,دوباره,Re: Friday's meeting,پاسخ: جلسه جمعه,,
frankly,general,adverb,frankly,صادقانه,"Frankly, I find his behaviour abhorrent.","صادقانه بگویم، رفتار او را ناراحت می کنم.",,
cancel,to call off,transitive verb,cancel,لغو کردن,My boss canceled the meeting.,رئیس من این جلسه را لغو کرد.,,
cancel,to end,transitive verb,cancel,لغو کردن,I canceled the contract when I got a bad recommendation about the seller.,من قرارداد را لغو کردم وقتی که من توصیه بدی در مورد فروشنده دریافت کردم.,,
cancel,mathematics,transitive verb,cancel,لغو کردن,It is possible to cancel the numerator and denominator in this fraction.,ممکن است عددی و نامزدی را در این بخش لغو کنید.,,
cancel,to mark as used or void,transitive verb,cancel,لغو کردن,"We decided to pay in cash, so I canceled the check.","ما تصمیم گرفتیم به صورت نقدی پرداخت کنیم، بنابراین چک را لغو کردم.",,
cancel,computing,transitive verb,cancel,لغو کردن,You can cancel the operation by pressing the escape key.,شما می توانید عملیات را با فشار دادن کلید فرار لغو کنید.,,
cancel,to delete,transitive verb,cancel,لغو کردن,My editor had me cancel the last chapter and write a new ending to the book.,سردبیر من من آخرین فصل را لغو کرده و یک پایان جدید را به کتاب نوشت.,,
derive,to have its origin,intransitive verb,derive,استخراج,"Most of the Romance languages are similar, because they all derive from Latin.","اکثر زبانهای عاشقانه مشابه هستند، زیرا همه آنها از لاتین حاصل می شوند.",,
derive,to obtain,transitive verb,derive,استخراج,She derives pleasure from reading and working on her hobbies every weekend.,او لذت بردن از خواندن و کار بر روی سرگرمی های خود را هر آخر هفته.,,
derive,to have it's origin; used in passive voice,transitive verb,derive,استخراج,Most of the island's income is derived from tourism.,بیشتر درآمد این جزیره از گردشگری حاصل می شود.,,
dumb,stupid,adjective,dumb,بی عقل,He sounds dumb because of his bad grammar.,او به خاطر گرامر بدش به نظر می رسد.,,
dumb,permanently unable to speak,adjective,dumb,بی عقل,My cousin has been dumb since birth.,پسر عموی من از زمان تولد گنگ شده است.,,
scope,extent,noun,scope,محدوده,Granting you a raise in salary is beyond my scope.,دادن به شما افزایش حقوق و دستمزد فراتر از محدوده من است.,,
scope,opportunity,noun,scope,محدوده,This position isn't offering me the scope I was looking for.,این موقعیت من را ارائه نمی دهد دامنه من به دنبال آن بود.,,
scope,telescope mounted on a firearm,noun,scope,محدوده,Before shooting make sure that the scope is aligned with the target.,قبل از عکسبرداری اطمینان حاصل کنید که دامنه با هدف هماهنگ شده است.,,
scope,to look around,transitive verb,scope,محدوده,My sister scoped my bedroom in search of my diary.,خواهر من اتاق خواب من را در جستجوی خاطرات من قرار داد.,,
formation,act or effect of forming,noun,formation,تشکیل,These countries have seen an increase in the formation of radical groups.,این کشورها افزایش شکل گیری گروه های رادیکال را افزایش داده اند.,,
formation,structure,noun,formation,تشکیل,The doctors were astounded when they saw the odd formation of the alien's digestive tract.,"پزشکان زمانی که آنها شکل گیری عجیب و غریب دستگاه گوارش بیگانه را دیدند، شگفت زده شدند.",,
formation,geology,noun,formation,تشکیل,Scientists are studying the different types of rock formations found around the volcano area.,دانشمندان در حال مطالعه انواع مختلفی از سازه های سنگ موجود در اطراف منطقه آتشفشان هستند.,,
formation,military,noun,formation,تشکیل,"The ancient Greeks developed the military formation known as ""the phalanx.""","یونانیان باستان، شکل گیری نظامی را به نام ""Phalanx"" توسعه دادند.",,
formation,related to formation,adjective,formation,تشکیل,The Blue Angels' formation flying dazzled the crowd.,شکل گیری فرشتگان آبی پرواز جمعیت را خیره کرد.,,
grandfather,relative,noun,grandfather,پدر بزرگ,Mom told me that our grandfather was a big flirt.,مامان به من گفت که پدربزرگ ما یک فریب بزرگ بود.,,
grandfather,"legal; often used with ""in""",transitive verb,grandfather,پدر بزرگ,We don't need to make changes to our property to comply with the new regulations because it is grandfathered in.,"ما نیازی به تغییر در اموال ما نداریم تا با مقررات جدید مطابقت داشته باشیم، زیرا پدربزرگ آن است.",,
hence,therefore,adverb,hence,از این رو,"You have been working hard, hence your raise.","شما سخت کار کرده اید، از این رو افزایش شما.",,
hence,from a point in time,adverb,hence,از این رو,The roses will bloom eight weeks hence.,گل رز هشت هفته از این رو شکوفا خواهد شد.,,
hence,from a place,adverb,hence,از این رو,"I'm going hence, because this castle is swarming with traitors.","از این رو می روم، زیرا این قلعه با خائنان خیره شده است.",,
margin,edge,noun,margin,لبه,These birds are a common sight around the margins of lakes and rivers.,این پرندگان یک دید کلی در اطراف حاشیه دریاچه ها و رودخانه ها هستند.,,
margin,periphery,noun,margin,لبه,These farmers subsist on the margins of the country's economy.,این کشاورزان در حاشیه اقتصاد کشور قرار دارند.,,
margin,blank space,noun,margin,لبه,The composer had scribbled several comments in the margins of the manuscript.,آهنگساز چندین نظر را در حاشیه این دستنوشته نظرات داشت.,,
margin,amount,noun,margin,لبه,The motion was passed by a narrow margin.,این حرکت توسط یک حاشیه باریک گذشت.,,
margin,finance,noun,margin,لبه,This new tax wil reduce the company's margins even further.,"این مالیات جدید، حاشیه های شرکت را حتی بیشتر می کند.",,
wound,physical injury,noun,wound,زخمی کردن,My wound hasn't healed yet.,زخم من هنوز بهبودی نشده است.,,
wound,emotional injury,noun,wound,زخمی کردن,He left a wound in my heart.,او در قلب من زخم را ترک کرد.,,
wound,to physically injure,transitive verb,wound,زخمی کردن,Two soldiers were seriously wounded during the attack.,دو سرباز در طول حمله به طور جدی زخمی شدند.,,
wound,"to physically injure, accidentally",transitive verb,wound,زخمی کردن,He was distracted and wounded me with the knife.,او با چاقو منحرف شد و زخمی کرد.,,
wound,to emotionally injure,transitive verb,wound,زخمی کردن,Her actions wounded him forever.,اقدامات او او را برای همیشه زخمی کرد.,,
exhibition,fine arts,noun,exhibition,نمایشگاه,There is an exhibition of Greek pottery at the museum this month.,نمایشگاه سفالگری یونان در موزه در این ماه وجود دارد.,,
exhibition,display of a skill or an emotion,noun,exhibition,نمایشگاه,The mercy the duke showed was seen as an exhibition of weakness.,رحمت دوک نشان داد که به عنوان یک نمایش از ضعف دیده می شود.,,
exhibition,spectacle,noun,exhibition,نمایشگاه,Sit down! You're making an exhibition of yourself.,نشستن شما یک نمایشگاه خود را ایجاد می کنید.,,
legislature,politics,noun,legislature,مجلس قانونگذاری,The legislature held a special meeting to rush the passing of the bill.,مجلس قانونگذاری جلسه ویژه ای را برای عبور از این لایحه برگزار کرد.,,
furthermore,moreover,adverb,furthermore,علاوه بر این,"Furthermore, the house offers a garage.","علاوه بر این، خانه گاراژ را ارائه می دهد.",,
portrait,painting,noun,portrait,پرتره,Portraits of the family members hang on the walls of the mansion.,پرتره های اعضای خانواده بر روی دیوارهای عمارت آویزان می شوند.,,
portrait,photography,noun,portrait,پرتره,A photographer makes a portrait of the whole family every Christmas.,یک عکاس یک عکس از کل خانواده را هر کریسمس می کند.,,
portrait,description,noun,portrait,پرتره,The novel provides a portrait of the rural life in the United States.,این رمان تصویری از زندگی روستایی در ایالات متحده را فراهم می کند.,,
portrait,orientation,noun,portrait,پرتره,Please print the document in portrait.,لطفا سند را در پرتره چاپ کنید.,,
sustain,to give continuity,transitive verb,sustain,حفظ کردن,The runner struggled hard to sustain the pace.,دونده سخت تلاش کرد تا سرعت را حفظ کند.,,
sustain,to suffer,transitive verb,sustain,حفظ کردن,The patient sustained a punctured lung.,بیمار یک ریه سوراخ شده را حفظ کرد.,,
sustain,"to suffer, defeat",transitive verb,sustain,حفظ کردن,The army sustained one defeat after another.,ارتش پس از دیگری یک شکست را حفظ کرد.,,
sustain,"to nourish, crops",transitive verb,sustain,حفظ کردن,Some nutrients need to be added to sustain these crops.,برخی از مواد مغذی باید برای حفظ این محصولات اضافه شوند.,,
sustain,"to nourish, a family",transitive verb,sustain,حفظ کردن,Her salary was barely enough to sustain her family.,حقوق او به اندازه کافی به اندازه کافی برای حفظ خانواده اش بود.,,
sustain,to hold up,transitive verb,sustain,حفظ کردن,The cheerleaders on the bottom of the pyramid weren't able to sustain the weight.,Cheerleaders در پایین هرم قادر به حفظ وزن نبودند.,,
sustain,"to validate, claim",transitive verb,sustain,حفظ کردن,The insurance company wouldn't sustain the claim because the driver was under the influence of drugs.,شرکت بیمه این ادعا را حفظ نخواهد کرد زیرا راننده تحت تاثیر مواد مخدر قرار داشت.,,
sustain,"to validate, charge",transitive verb,sustain,حفظ کردن,We can't sustain these allegations until we have proof.,"ما نمی توانیم این اتهامات را تا زمانی که ما اثبات کنیم، حفظ کنیم.",,
uniform,clothing,noun,uniform,لباس فرم,You must wear your work uniform daily.,شما باید روزانه لباس خود را بپوشانید.,,
uniform,unvarying,adjective,uniform,لباس فرم,The fabric we use for the upholstery must be of uniform quality.,پارچه ای که ما برای اثاثه یا لوازم داخلی استفاده می کنیم باید از کیفیت یکنواخت باشد.,,
uniform,to dress in uniform,transitive verb,uniform,لباس فرم,A large group of uniformed children loudly entered the museum.,یک گروه بزرگ از کودکان یکپارچه با صدای بلند به موزه وارد شدند.,,
uniform,to make uniform,transitive verb,uniform,لباس فرم,"As well as providing insulation, the cladding gave the old apartment blocks a modern and uniforming aspect.","علاوه بر ارائه عایق، روکش به آپارتمان قدیمی یک جنبه مدرن و یکنواخت را متوقف کرد.",,
painful,physically,adjective,painful,دردناک,I have a painful canker sore on my tongue.,من یک دردناک دردناک در زبانم دارم.,,
painful,mentally,adjective,painful,دردناک,The scar on her left hand was a painful reminder of her ordeal.,اسکار در دست چپ او یادآور دردناک از مصیبت او بود.,,
painful,extremely bad,adjective,painful,دردناک,Sitting through that movie was a truly painful experience.,نشستن از طریق آن فیلم یک تجربه واقعا دردناک بود.,,
miracle,religious,noun,miracle,معجزه,Saints are believed to perform miracles.,اعتقاد بر این است که مقدسین معجزات را انجام می دهند.,,
miracle,extraordinary event,noun,miracle,معجزه,It's a miracle that she is cured now.,این یک معجزه است که او اکنون درمان می شود.,,
harm,damage,noun,harm,صدمه,The harm caused by the chemical spill is horrifying.,آسیب ناشی از نشت شیمیایی وحشتناک است.,,
harm,to cause damage,transitive verb,harm,صدمه,The oil spill harmed this fragile ecosystem.,نشت نفت به این اکوسیستم شکننده آسیب رسانده است.,,
zero,number,noun,zero,صفر,This weekend's temperatures might drop below zero.,این درجه حرارت آخر هفته ممکن است زیر صفر باشد.,,
zero,null,adjective,zero,صفر,There is zero tolerance on that issue.,تحمل صفر در آن موضوع وجود دارد.,,
zero,weaponry,transitive verb,zero,صفر,I'm still learning how to zero my rifle.,من هنوز یاد می گیرم که چگونه اسلحه من را صفر کنم.,,
zero,to reset to zero,transitive verb,zero,صفر,It is important to remember to zero the scales in between weighing out the various ingredients.,مهم است که به یاد داشته باشید که مقیاس های بین وزن مواد مختلف را به صفر برسانید.,,
tactic,strategy,noun,tactic,تاکتیک,The candidate that won did so thanks in no small part to the success of his scare tactics.,"کاندیدایی که به دست آورد، به هیچ وجه به موفقیت تاکتیک های ترسناک خود کمک نکرد.",,
tactic,military,noun,tactic,تاکتیک,"Despite being outnumbered, they won the battle because of their superior tactics.","با وجود اینکه بیش از حد، آنها نبرد را به خاطر تاکتیک های برتر خود به دست آوردند.",,
mask,"disguise, covering whole face",noun,mask,ماسک,Nobody knew who Zorro really was because he wore a mask.,هیچ کس نمی دانست که Zorro واقعا واقعا بود زیرا او ماسک را پوشید.,,
mask,"disguise, covering eyes area",noun,mask,ماسک,The Venice Carnival is famous for its traditional masks and costumes.,کارناوال ونیز برای ماسک های سنتی و لباس های سنتی معروف است.,,
mask,"protection, for safety",noun,mask,ماسک,"In baseball, the catcher must wear a mask to protect himself.","در بیس بال، گیرنده باید ماسک را برای محافظت از خود بپوشاند.",,
mask,"protection, for inhalation or surgery",noun,mask,ماسک,"If there is a pressure loss in the plane, place the oxygen mask over your mouth and nose, and breathe normally.","اگر از دست دادن فشار در هواپیما وجود داشته باشد، ماسک اکسیژن را روی دهان و بینی خود قرار دهید و به طور معمول نفس بکشید.",,
mask,"protection, for surgery",noun,mask,ماسک,Surgeons wear a mask during surgery to avoid infection.,جراحان در طول عمل جراحی ماسک را می پوشند تا از عفونت جلوگیری شود.,,
mask,"protection, for diving",noun,mask,ماسک,Spit in your mask to keep it from fogging up while diving.,در ماسک خود جدا کنید تا آن را از بین ببرید.,,
mask,protection,noun,mask,ماسک,It's now compulsory to wear masks in many stores because of Covid-19.,در حال حاضر اجباری است که به دلیل Covid-19 ماسک ها را در بسیاری از فروشگاه ها بپوشانید.,,
mask,cosmetic,noun,mask,ماسک,I use a clay mask once a week.,من یک بار در هفته یک ماسک رس را استفاده می کنم.,,
mask,to conceal,transitive verb,mask,ماسک,He lied to everybody to mask his real intentions.,او به همه دروغ می گوید تا اهداف واقعی خود را پنهان کند.,,
mask,to cover,transitive verb,mask,ماسک,They mask the screw heads with little discs the same color as the wood.,آنها سر پیچ را با دیسک های کوچک رنگ می کنند همان رنگ به عنوان چوب.,,
calm,tranquility,noun,calm,ارامش,There was a sense of calm in the living room.,احساس آرامش در اتاق نشیمن وجود داشت.,,
calm,serene,adjective,calm,ارامش,The countryside is a very calm place.,حومه شهر یک مکان بسیار آرام است.,,
calm,to soothe,transitive verb,calm,ارامش,He needs to calm himself down right now.,او باید در حال حاضر خود را آرام کند.,,
inflation,finance,noun,inflation,تورم,Extremely high inflation in Germany is one of the factors that led to the rise of Adolf Hitler.,تورم بسیار بالا در آلمان یکی از عواملی است که منجر به افزایش آدولف هیتلر شد.,,
hunting,sports,noun,hunting,شکار,"Even though wolf hunting is legal in Canada, I am against it.","اگرچه شکار گرگ در کانادا قانونی است، من علیه آن هستم.",,
physically,in a manner relating to the body,adverb,physically,از لحاظ جسمی,"He didn't find her physically that attractive, but there was definitely something about her he liked.","او از لحاظ جسمی او را جذاب نکرد، اما قطعا چیزی در مورد او دوست داشت.",,
physically,in the real world,adverb,physically,از لحاظ جسمی,What you're asking of us is physically impossible.,آنچه شما از ما می پرسید فیزیکی غیر ممکن است.,,
flesh,"anatomy, human or animal",noun,flesh,گوشت,My sister is a vegetarian because she thinks that eating the flesh of other animals is morally wrong.,خواهر من یک گیاهخواری است زیرا او فکر می کند که خوردن گوشت حیوانات دیگر از لحاظ اخلاقی اشتباه است.,,
flesh,fruit,noun,flesh,گوشت,The flesh of the apple was mealy.,گوشت سیب بود.,,
flesh,human body,noun,flesh,گوشت,"What poisons the flesh, poisons the soul.","آنچه که گوشت خوک، سموم روح است.",,
flesh,"to gain weight; used with ""out""",intransitive verb,flesh,گوشت,Tony had fleshed out in his early forties and was now struggling to control his weight.,تونی در اوایل قرن پیش خود را از دست داد و اکنون تلاش کرد تا وزن خود را کنترل کند.,,
flesh,"to add details to; used with ""out""",transitive verb,flesh,گوشت,The teacher's feedback said she needed to flesh out the characterization.,بازخورد معلم گفت که او نیاز به حفظ ویژگی دارد.,,
temporary,not permanent,adjective,temporary,موقت,I was granted a temporary visa to enter the United States.,من یک ویزای موقت برای ورود به ایالات متحده اعطا شد.,,
nerve,anatomy,noun,nerve,عصب,Peggy is in bed recuperating with a damaged nerve in her foot.,Peggy در رختخواب در معرض یک عصب آسیب دیده در پای او است.,,
nerve,courage,noun,nerve,عصب,Mark didn't have the nerve to parachute out of the airplane.,مارک عصب را به چتر نجات داد تا از هواپیما خارج شود.,,
nerve,boldness,noun,nerve,عصب,"The landlord had the nerve to charge me for electricity, and then not pay the bill for the building.","صاحبخانه عصب را برای اتهام برق برای برق داشت، و سپس این لایحه را برای ساختمان پرداخت نمی کرد.",,
nerve,to steel,transitive verb,nerve,عصب,"She nerved herself to steal his wallet while he slept, but was interrupted by the dog.","او خود را به سرقت کیف پول خود را در حالی که او خواب، اما توسط سگ قطع شد.",,
